w,0,0
w,1,0
w,2,0
w,3,0
w,4,0
w,5,0
w,6,0
w,7,0
w,8,0
w,9,0
w,0,1
w,0,2
w,0,3
w,0,4
w,0,5
w,0,6
w,0,7
w,0,8
w,0,9
w,0,9
w,0,10
w,0,11
w,1,11
w,2,11
w,3,11
w,4,11
w,5,11
w,6,11
w,7,11
w,8,11
w,9,11
w,9,10
w,9,9
w,9,8
w,9,7
w,9,1
w,9,2
w,9,3
w,9,4
w,10,4
w,11,4
w,12,4
w,13,4
w,14,4
w,15,4
w,10,7
w,11,7
w,12,7
w,12,8
w,12,9
w,12,10
w,12,11
w,12,12
w,12,13
w,15,5
w,15,6
w,15,7
w,15,8
w,15,9
w,15,10
w,16,10
w,13,13
w,14,13
w,15,13
w,16,13
w,17,13
w,17,14
w,17,15
w,17,16
w,17,17
w,17,10
w,17,9
w,18,9
w,19,9
w,20,9
w,21,9
w,22,9
w,23,9
w,24,9
w,18,17
w,19,17
w,20,17
w,21,17
w,22,17
w,23,17
w,24,17
w,25,17
w,26,17
w,27,17
w,24,8
w,24,7
w,24,6
w,24,5
w,25,5
w,26,5
w,27,5
w,28,5
w,29,5
w,30,5
w,27,16
w,27,15
w,27,14
w,27,13
w,27,12
w,27,11
w,27,10
w,27,9
w,27,8
w,28,8
w,29,8
w,30,8
w,31,8
w,32,8
w,33,8
w,34,8
w,35,8
w,35,9
w,35,10
w,35,11
w,34,11
w,33,11
w,32,11
w,31,11
w,31,12
w,31,13
w,31,14
w,31,15
w,31,16
w,31,17
w,31,18
w,32,18
w,33,18
w,34,18
w,35,18
w,36,18
w,37,18
w,38,18
w,39,18
w,40,18
w,38,8
w,38,7
w,38,6
w,38,5
w,38,4
w,38,3
w,38,2
w,38,1
w,38,0
w,38,9
w,38,10
w,38,11
w,39,11
w,40,11
w,41,11
w,41,12
w,41,13
w,41,14
w,41,15
w,41,16
w,41,17
w,41,18
w,30,5
w,30,4
w,30,3
w,30,2
w,30,1
w,30,0
w,31,0
w,32,0
w,33,0
w,34,0
w,35,0
w,36,0
w,37,0
w,38,0
p,1,4
g,7,4
g,22,13
s,34,4
z,36,14
d,40,17
